abase	**abase** — to humiliate, degrade
abate	**abate** — to reduce, lessen
abdicate	**abdicate** — to give up a position, usually one of leadership
abduct	**abduct** — to kidnap, take by force
aberration	**aberration** — something that differs from the norm
abet	**abet** — to aid, help, encourage
abhor	**abhor** — to hate, detest
abide	**abide** — to put up with
ability	At the prep bench, Bart learned that ability means the power or skill to do something when a scratched bookmark slipped away and the graveyard fog got thicker.
abject	**abject** — wretched, pitiful
abjure	**abjure** — to reject, renounce
abnegation	**abnegation** — denial of comfort to oneself
abort	**abort** — to give up on a half-finished project or effort
abridge	**abridge** — to cut down, shorten
abrogate	**abrogate** — to abolish, usually by authority
abscond	**abscond** — to sneak away and hide
absolution	**absolution** — freedom from blame, guilt, sin
abstain	**abstain** — to freely choose not to commit an action
abstruse	**abstruse** — hard to comprehend
accede	**accede** — to agree
accentuate	**accentuate** — to stress, highlight
accept	When the graveyard gate rattled by the Jurassic Park jeep, a neighbor had to accept—to say yes to or receive—before a black headband vanished.
accessible	**accessible** — obtainable, reachable
accident	While zombies groaned near the Painted Ladies sidewalk, Robby remembered that accident is something bad that happens unexpectedly just as a white glove became the next clue.
acclaim	**acclaim** — high praise
accolade	**accolade** — high praise, special distinction
accommodating	**accommodating** — helpful, obliging, polite
accord	**accord** — an agreement
accost	**accost** — to confront verbally
accretion	**accretion** — slow growth in size or amount
acerbic	**acerbic** — biting, bitter in tone or taste
achieve	A cat chose to achieve, meaning to reach a goal, while racing through the TV studio and protecting a match ball.
acquiesce	**acquiesce** — to agree without protesting
acrimony	**acrimony** — bitterness, discord
act	At his Reseda apartment, a sabre sprinter tried to act—to do something or perform—as the rooftop ladder slipped and a showstopper loaf bounced across the floor.
action	During a wild night at the harbor rocks, Bruno Fernandes saw that action means something done on purpose after a feather bundle showed up and the barricade started to shake.
active	With a camera strap tucked under one arm, Almanzo seemed active at the goalmouth, meaning full of energy or movement.
actually	At Crissy Field, Hawk answered actually, meaning in fact, before passing over a stopwatch.
acumen	**acumen** — keen insight
acute	**acute** — sharp, severe
adamant	**adamant** — impervious, immovable, unyielding
adapt	At the batting cage, an epee captain tried to adapt—to change to fit new conditions—as an alarm bell started ringing and a stack of macarons bounced across the floor.
add	With zombies closing in at the Anfield touchline, Dr. Grant would add if it meant to put something more in and saving a ferry pass.
adept	**adept** — extremely skilled
adhere	**adhere** — to stick to something
admire	When the graveyard gate rattled by the cake stand, Krusty had to admire—to respect or enjoy looking at—before a wet flipper vanished.
admonish	**admonish** — to caution, criticize, reprove
adorable	A vendor looked adorable—very cute and lovable—at the beach from Lord of the Flies while holding red sparring gloves and listening for zombies.
adorn	**adorn** — to decorate
adroit	**adroit** — skillful, dexterous
adulation	**adulation** — extreme praise
adumbrate	**adumbrate** — to sketch out in a vague way
adventure	At the finals piste, the pastry chef treated adventure as an exciting or unusual experience before grabbing a gold pen and heading for safety.
adverse	**adverse** — antagonistic, unfavorable, dangerous
advice	During a wild night at the rooftop, Son saw that advice means helpful ideas about what to do after his cracked specs showed up and the moon slid behind a cloud.
