insinuate | imply | suggest | hint || blunt | explicit | declare
demarcation | boundary | border | division || overlap | merge | unite
morose | gloomy | sullen | melancholy || cheerful | merry | bright
vex | annoy | irritate | bother || appease | calm | please
buttress | support | reinforce | fortify || weaken | undermine | topple
resplendent | radiant | splendid | brilliant || dull | drab | dim
lithe | supple | limber | agile || stiff | rigid | rigidly
surmise | infer | suppose | speculate || know | deduce | inferential
berate | scold | reprimand | upbraid || praise | laud | commend
assuage | soothe | relieve | ease || aggravate | worsen | intensify
abate | lessen | diminish | subside || increase | surge | intensify
abdicate | renounce | resign | surrender || crown | monarch | throne
abduct | kidnap | seize | snatch || adduct | abject | abrupt
abhor | detest | loathe | hate || adore | admire | love
abide | endure | tolerate | accept || disobey | wander | stray
abstain | refrain | forgo | desist || partake | indulgence | participation
accelerate | speed up | hasten | quicken || decelerate | brake | lag
accentuate | emphasize | highlight | stress || diminish | soften | blur
accretion | buildup | accumulation | growth || erosion | wear | loss
accumulate | gather | collect | amass || disperse | scatter | dissipate
adapt | adjust | modify | accommodate || rigid | fixed | inflexible
adequate | sufficient | enough | acceptable || insufficient | lacking | sparse
adhere | cling | stick | conform || detach | separate | loosen
adulation | praise | applause | acclaim || criticism | censure | disapproval
advocate | support | champion | endorse || oppose | hinder | resist
affable | friendly | amiable | sociable || rude | aloof | hostile
alias | pseudonym | nickname | aka || true name | identity | mask
allay | soothe | calm | ease || aggravate | stir | provoke
alleviate | relieve | ease | mitigate || worsen | aggravate | intensify
ambiguous | unclear | vague | equivocal || obvious | plain | direct
amend | revise | correct | alter || intact | original | unedited
amenity | convenience | comfort | facility || nuisance | hassle | burden
amorous | loving | romantic | passionate || platonic | shy | reserved
anachronistic | outdated | old-fashioned | antiquated || modern | current | contemporary
analgesic | painkilling | soothing | numbing || painful | aching | throbbing
anathema | curse | abhorrence | bane || blessing | benediction | favor
annex | append | add | incorporate || detach | split | separate
anomaly | oddity | irregularity | aberration || norm | pattern | routine
anthology | collection | compilation | miscellany || library | compendium | archive
anticipate | expect | foresee | predict || surprise | sudden | impulsive
antipathy | dislike | aversion | hostility || affinity | fondness | warmth
apocryphal | dubious | spurious | false || authentic | genuine | verified
apologize | excuse | regret | pardon || blame | accuse | fault
appalling | dreadful | awful | shocking || delightful | pleasant | pleasing
appreciate | value | esteem | cherish || depreciate | undervalue | ignore
arbitrary | random | capricious | whimsical || deliberate | planned | fixed
ascribe | attribute | credit | assign || misattribute | description | subscribe
aspire | aim | hope | yearn || despair | surrender | relent
attain | achieve | reach | obtain || fail | lose | miss
attitude | outlook | stance | mindset || altitude | posture | bearing
audible | hearable | perceptible | voiced || silent | faint | muffled
authentic | genuine | real | bona fide || fake | counterfeit | bogus
authority | power | control | rule || powerless | meek | timid
automatic | self-acting | mechanical | robotic || manual | deliberate | conscious
available | accessible | obtainable | free || inaccessible | occupied | busy
balk | resist | hesitate | refuse || comply | yield | submit
ballad | song | lyric | tune || chorus | hymn | ditty
banal | ordinary | trite | dull || original | fresh | novel
bane | curse | scourge | nemesis || boon | blessing | relief
bard | poet | minstrel | singer || verse | lyricist | singer
bashful | shy | timid | meek || bold | brash | outgoing
beguile | charm | deceive | enchant || repel | bore | disgust
behemoth | giant | monster | colossus || tiny | miniature | dwarf
belong | fit | match | be part of || alienate | exclude | separate
beneficial | helpful | advantageous | useful || harmful | detrimental | adverse
benevolent | kind | generous | charitable || malevolent | avaricious | cruel
benign | harmless | mild | kindly || malignant | vicious | severe
bequeath | leave | grant | pass on || inherit | donate | bestow
bereft | deprived | lacking | empty || full | bereavement | left
beseech | beg | implore | plead || refuse | decline | reject
bilk | cheat | swindle | defraud || pay | refund | settle
biology | life science | study of living things | biotic science || geology | chemistry | physics
blight | spoil | damage | ruin || bloom | flourish | thrive
bombastic | pompous | grandiose | inflated || modest | humble | plain
boon | blessing | benefit | favor || bane | curse | burden
caucus | meeting | conference | gathering || brawl | committee | ballot
boycott | shun | avoid | blacklist || support | endorse | back
brazen | bold | shameless | audacious || timid | modest | meek
brilliance | brightness | genius | splendor || dullness | dimness | dull
brusque | blunt | curt | abrupt || polite | cordial | gracious
buffet | batter | strike | pummel || caress | stroke | pat
burnish | polish | shine | brighten || tarnish | dull | roughen
cacophony | racket | din | clamor || harmony | silence | melody
calibrate | adjust | fine-tune | align || misalign | gauge | scale
candidate | applicant | contender | nominee || incumbent | observer | spectator
candor | frankness | honesty | openness || secrecy | evasive | guarded
capricious | fickle | unpredictable | erratic || steady | fixed | regular
catalyze | trigger | spur | accelerate || inhibit | delay | stall
caucus | meeting | conference | gathering || primary | ballot | delegate
cerebral | intellectual | mental | brainy || physical | visceral | bodily
characteristic | trait | feature | quality || atypical | unusual | generic
chastise | scold | rebuke | reprimand || praise | applaud | commend
cherish | treasure | love | value || neglect | discard | ignore
choreography | dance-making | staging | movement design || improvisation | rehearsal | sequence
circumscribed | limited | bounded | restricted || unlimited | open | vast
clairvoyant | psychic | prescient | prophetic || blind | ordinary | mundane
clamor | outcry | uproar | din || silence | whisper | hush
classify | categorize | sort | group || misfile | organize | arrange
coalesce | merge | unite | fuse || divide | fracture | split
cogent | convincing | persuasive | forceful || weak | feeble | vague
